dataset,budget,method,count,mean_ndcg@10,std_ndcg@10,mean_mrr@10,std_mrr@10,mean_recall@100,std_recall@100,mean_latency_query_ms,mean_dense_weight,mean_ndcg_delta_vs_average_single,mean_mrr_delta_vs_average_single,mean_ndcg_regret_vs_best_single,mean_worst_case_regret_reduction,method_label
nfcorpus,100,rrf,7,0.34320202560658586,0.012505881278272155,0.5501492819349962,0.011065159695288896,0.31869028301565816,0.008681572151733308,10.378871795672875,,0.031005250638122057,0.03374500593888346,-0.026059873286123834,3.9130033150785586,RRF
nfcorpus,100,validation_weighted_fusion,7,0.3430200411418574,0.011008979534759322,0.5524522189828313,0.011597488398045702,0.31661613662393184,0.00961832289436107,10.378871795672875,0.5,0.030823266173393617,0.03604794298671849,-0.025877888821395394,3.9335704136059233,Validation-weighted fusion
nfcorpus,100,zscore_fusion,7,0.3430200411418574,0.011008979534759322,0.5524522189828313,0.011597488398045702,0.31661613662393184,0.00961832289436107,10.378871795672875,,0.030823266173393617,0.03604794298671849,-0.025877888821395394,3.9335704136059233,Z-score fusion
nfcorpus,200,bm25,7,0.30796960783436794,0.010635040073993327,0.519195281287118,0.01326416485841661,0.2346478965201841,0.012488644595770638,0.7949502941196851,,-0.004227167134095854,0.0027910052910052724,0.009172544486094074,0.14285714285714285,BM25
nfcorpus,200,dense,7,0.3164239421025596,0.01217407254042393,0.5136132707051074,0.01421137100977983,0.3089385676443817,0.011130183815389421,9.58392150155319,,0.004227167134095837,-0.0027910052910053123,0.0007182102179023835,0.8571428571428571,Dense
nfcorpus,200,minmax_fusion,7,0.3431926024480469,0.01169787649313553,0.5507334521110031,0.010000560797209814,0.31844316671098744,0.010624198475115462,10.378871795672875,,0.030995827479583096,0.034329176114890406,-0.026050450127584873,3.946991659922721,Min-max fusion
nfcorpus,200,rrf,7,0.3437230179208286,0.011911468638517383,0.5504489256019868,0.010227461414788858,0.31656628598497033,0.009438308559598737,10.378871795672875,,0.031526242952364836,0.03404464960587407,-0.026580865600366616,3.9846932608856847,RRF
nfcorpus,200,validation_weighted_fusion,7,0.33903725256361544,0.011709010464839333,0.5459575099881222,0.012548685717975266,0.3162468019059583,0.009957739560746243,10.378871795672875,0.5285714285714286,0.026840477595151617,0.02955323399200947,-0.021895100243153394,3.399671381479642,Validation-weighted fusion
nfcorpus,200,zscore_fusion,7,0.34010322398311243,0.010935476340782067,0.547277021919879,0.011162127360583637,0.3159139831899052,0.010219928921626046,10.378871795672875,,0.027906449014648633,0.030872745923766303,-0.02296107166265041,3.611700711557224,Z-score fusion
scifact,20,bm25,7,0.6692321499101904,0.012989413730669277,0.6375216582359439,0.014981724944026607,0.8281929181929181,0.013232913959598974,5.8914951966774725,,0.012703315126646273,0.01673236816093961,0.0,1.0,BM25
